linha_base,direcao_base,total_pontos_linha_base,linha_compartilhada,direcao_compartilhada,num_pontos_compartilhados,percentual_cobertura,pontos_compartilhados
805,Ida,31,SP805,Ida,27,87.1,"Alfabarra II, Clube Riviera, Comandante Júlio de Moura, Embaixador Egberto Mafra, Eugênio Lyra Neto, General Ivan Raposo, Gilberto Amado, Hercílio Gonçalves, Jornalista Pierre Plancher, Marcelo Roberto, Padre Alfredo Gonzales, Peregrino Junior, Praça do Ó, Praça Euvaldo Lodi, Praia da Barra - Posto 2, Praia da Barra - Posto 3, Praia da Barra - Posto 4, Praia da Barra - Posto 5, Praia da Barra - Posto 6, Praia da Barra - Posto 6, Praia da Barra - Posto 7, Praia da Barra - Posto 8, Praia da Barra - Posto 8, Prudência do Amaral, Rodolfo de Campos, São Regulo, Terminal Alvorada :: Plataforma C6"
805,Ida,31,957,Ida,2,6.45,"Barra Private, Passarela da Barra"
805,Ida,31,990,Ida,2,6.45,"Gilberto Amado, Passarela da Barra"
805,Ida,31,990,Volta,2,6.45,"Barra Private, Passarela da Barra"
805,Ida,31,645,Ida,1,3.23,Gilberto Amado
805,Ida,31,645,Volta,1,3.23,Barra Private
805,Ida,31,552,Ida,26,83.87,"Alfabarra II, Clube Riviera, Comandante Júlio de Moura, Embaixador Egberto Mafra, Eugênio Lyra Neto, General Ivan Raposo, Gilberto Amado, Hercílio Gonçalves, Jornalista Pierre Plancher, Marcelo Roberto, Padre Alfredo Gonzales, Peregrino Junior, Praça do Ó, Praça Euvaldo Lodi, Praia da Barra - Posto 2, Praia da Barra - Posto 3, Praia da Barra - Posto 4, Praia da Barra - Posto 5, Praia da Barra - Posto 6, Praia da Barra - Posto 6, Praia da Barra - Posto 7, Praia da Barra - Posto 8, Praia da Barra - Posto 8, Prudência do Amaral, Rodolfo de Campos, São Regulo"
805,Ida,31,552,Volta,2,6.45,"Barra Private, Passarela da Barra"
805,Ida,31,554,Volta,2,6.45,"Barra Private, Passarela da Barra"
805,Ida,31,558,Ida,1,3.23,Barra Private
805,Ida,31,301,Ida,1,3.23,Barra Private
805,Ida,31,301,Volta,1,3.23,Gilberto Amado
805,Ida,31,SV863,Volta,1,3.23,Gilberto Amado
805,Ida,31,548,Ida,2,6.45,"Barra Private, Passarela da Barra"
805,Volta,24,SPB550,Ida,5,20.83,"Daut Peres, Gumercindo da Silva, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Praça Professor Souza Araújo"
805,Volta,24,SV692,Volta,2,8.33,"Alfa Barra, Prefeito Dulcídio Cardoso"
805,Volta,24,SV692,Ida,2,8.33,"Alfa Barra, Prefeito Dulcídio Cardoso"
805,Volta,24,343,Volta,1,4.17,Terminal Nuta James
805,Volta,24,343,Ida,6,25,"Daut Peres, Gumercindo da Silva, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Praça Professor Souza Araújo, Terminal Nuta James"
805,Volta,24,SN302,Ida,22,91.67,"Aldo Bonadei, Alfa Barra, Clube Riviera, Comandante Júlio de Moura, Daut Peres, Gumercindo da Silva, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Peregrino Junior, Praça do Ó, Praça Euvaldo Lodi, Praça Professor José Bernardino, Praça Professor Souza Araújo, Praia da Barra - Posto 4, Praia da Barra - Posto 5, Praia da Barra - Posto 6, Praia da Barra - Posto 7, Praia da Barra - Posto 8, Prefeito Dulcídio Cardoso, Prudência do Amaral, Rodolfo de Campos, São Regulo"
805,Volta,24,550,Ida,5,20.83,"Daut Peres, Gumercindo da Silva, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Praça Professor Souza Araújo"
805,Volta,24,555,Ida,5,20.83,"Daut Peres, Gumercindo da Silva, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Praça Professor Souza Araújo"
805,Volta,24,565,Ida,2,8.33,"Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli"
805,Volta,24,SN309,Volta,21,87.5,"Aldo Bonadei, Alfa Barra, Clube Riviera, Comandante Júlio de Moura, Daut Peres, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Peregrino Junior, Praça do Ó, Praça Euvaldo Lodi, Praça Professor José Bernardino, Praça Professor Souza Araújo, Praia da Barra - Posto 4, Praia da Barra - Posto 5, Praia da Barra - Posto 6, Praia da Barra - Posto 7, Praia da Barra - Posto 8, Prefeito Dulcídio Cardoso, Prudência do Amaral, Rodolfo de Campos, São Regulo"
805,Volta,24,309,Volta,22,91.67,"Aldo Bonadei, Alfa Barra, Clube Riviera, Comandante Júlio de Moura, Daut Peres, Gumercindo da Silva, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Peregrino Junior, Praça do Ó, Praça Euvaldo Lodi, Praça Professor José Bernardino, Praça Professor Souza Araújo, Praia da Barra - Posto 4, Praia da Barra - Posto 5, Praia da Barra - Posto 6, Praia da Barra - Posto 7, Praia da Barra - Posto 8, Prefeito Dulcídio Cardoso, Prudência do Amaral, Rodolfo de Campos, São Regulo"
