linha_base,direcao_base,total_pontos_linha_base,linha_compartilhada,direcao_compartilhada,num_pontos_compartilhados,percentual_cobertura,pontos_compartilhados
315,Volta,61,614,Ida,1,1.64,BarraShopping - Américas
315,Volta,61,880,Volta,7,11.48,"Aeroporto de Jacarepaguá, CasaShopping, Hospital Municipal Lourenço Jorge, Isabel Domingues, Leonel Brizola, Via Parque Shopping, Vila Pan-Americana"
315,Volta,61,880,Ida,1,1.64,Gabinal
315,Volta,61,369,Ida,4,6.56,"Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, INTO"
315,Volta,61,379,Ida,6,9.84,"Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, BRS 4,5: General Caldwell, Estação Barão de Mauá :: Pista Central, Frederico Silva, INTO"
315,Volta,61,383,Ida,1,1.64,Frederico Silva
315,Volta,61,388,Ida,12,19.67,"Aires Pinto, Bela, Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, Fiocruz, INTO, Monsenhor Manuel Gomes, Parque Vitória, Refinaria de Manguinhos, Ricardo Machado, Santo Antônio"
315,Volta,61,389,Ida,4,6.56,"Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, INTO"
315,Volta,61,393,Ida,12,19.67,"Aires Pinto, Bela, Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, Fiocruz, INTO, Monsenhor Manuel Gomes, Parque Vitória, Refinaria de Manguinhos, Ricardo Machado, Santo Antônio"
315,Volta,61,SR393,Ida,4,6.56,"Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, INTO"
315,Volta,61,2307,Ida,3,4.92,"BRS 1,2,3,4,5,I: Cidade Nova, BRS 4,5: General Caldwell, Estação Barão de Mauá :: Pista Central"
315,Volta,61,2308,Ida,3,4.92,"BRS 1,2,3,4,5,I: Cidade Nova, BRS 4,5: General Caldwell, Estação Barão de Mauá :: Pista Central"
315,Volta,61,2309,Ida,3,4.92,"BRS 1,2,3,4,5,I: Cidade Nova, BRS 4,5: General Caldwell, Estação Barão de Mauá :: Pista Central"
315,Volta,61,2310,Ida,2,3.28,"BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central"
315,Volta,61,2803,Ida,18,29.51,"BarraShopping, Estação Américas Park, Estação Bosque da Barra, Estação Gláucio Gil, Estação Golfe Olímpico, Estação Pontões / Barrasul, Estação Salvador Allende, Gelson Fonseca, Guignard, Hélio Pellegrino, João Saldanha, Luiz Aranha, Novo Leblon, Pedra de Itaúna, Raymundo Magalhães Jr., RioDesign Barra, Riomar, Vogue Square"
315,Volta,61,2803,Volta,1,1.64,BarraShopping - Américas
315,Volta,61,900,Volta,10,16.39,"Aeroporto de Jacarepaguá, BarraShopping - Américas, CasaShopping, Edgard Werneck, Gabinal, Hospital Municipal Lourenço Jorge, Isabel Domingues, Leonel Brizola, Via Parque Shopping, Vila Pan-Americana"
315,Volta,61,954,Volta,1,1.64,Estação Gláucio Gil
315,Volta,61,SN954,Volta,1,1.64,Estação Gláucio Gil
315,Volta,61,SN393,Ida,11,18.03,"Bela, Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, Fiocruz, INTO, Monsenhor Manuel Gomes, Parque Vitória, Refinaria de Manguinhos, Ricardo Machado, Santo Antônio"
315,Volta,61,SR300,Ida,4,6.56,"Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, INTO"
315,Volta,61,2336,Ida,3,4.92,"BRS 1,2,3,4,5,I: Cidade Nova, BRS 4,5: General Caldwell, Estação Barão de Mauá :: Pista Central"
315,Volta,61,2303,Ida,3,4.92,"BRS 1,2,3,4,5,I: Cidade Nova, BRS 4,5: General Caldwell, Estação Barão de Mauá :: Pista Central"
315,Volta,61,2334,Volta,1,1.64,BarraShopping - Américas
315,Volta,61,2334,Ida,18,29.51,"BarraShopping, Estação Américas Park, Estação Bosque da Barra, Estação Gláucio Gil, Estação Golfe Olímpico, Estação Pontões / Barrasul, Estação Salvador Allende, Gelson Fonseca, Guignard, Hélio Pellegrino, João Saldanha, Luiz Aranha, Novo Leblon, Pedra de Itaúna, Raymundo Magalhães Jr., RioDesign Barra, Riomar, Vogue Square"
315,Volta,61,2335,Ida,19,31.15,"BarraShopping, Condomínio Mansões, Estação Américas Park, Estação Bosque da Barra, Estação Gláucio Gil, Estação Golfe Olímpico, Estação Pontões / Barrasul, Estação Salvador Allende, Gelson Fonseca, Guignard, Hélio Pellegrino, João Saldanha, Luiz Aranha, Novo Leblon, Pedra de Itaúna, Raymundo Magalhães Jr., RioDesign Barra, Riomar, Vogue Square"
315,Volta,61,2335,Volta,1,1.64,BarraShopping - Américas
315,Volta,61,2337,Ida,18,29.51,"BarraShopping, Estação Américas Park, Estação Bosque da Barra, Estação Gláucio Gil, Estação Golfe Olímpico, Estação Pontões / Barrasul, Estação Salvador Allende, Gelson Fonseca, Guignard, Hélio Pellegrino, João Saldanha, Luiz Aranha, Novo Leblon, Pedra de Itaúna, Raymundo Magalhães Jr., RioDesign Barra, Riomar, Vogue Square"
315,Volta,61,2337,Volta,1,1.64,BarraShopping - Américas
315,Volta,61,2339,Ida,3,4.92,"BRS 1,2,3,4,5,I: Cidade Nova, BRS 4,5: General Caldwell, Estação Barão de Mauá :: Pista Central"
315,Volta,61,2381,Ida,3,4.92,"BRS 1,2,3,4,5,I: Cidade Nova, BRS 4,5: General Caldwell, Estação Barão de Mauá :: Pista Central"
315,Volta,61,2383,Ida,3,4.92,"BRS 1,2,3,4,5,I: Cidade Nova, BRS 4,5: General Caldwell, Estação Barão de Mauá :: Pista Central"
315,Volta,61,2802,Volta,1,1.64,BarraShopping - Américas
315,Volta,61,2802,Ida,18,29.51,"BarraShopping, Estação Américas Park, Estação Bosque da Barra, Estação Gláucio Gil, Estação Golfe Olímpico, Estação Pontões / Barrasul, Estação Salvador Allende, Gelson Fonseca, Guignard, Hélio Pellegrino, João Saldanha, Luiz Aranha, Novo Leblon, Pedra de Itaúna, Raymundo Magalhães Jr., RioDesign Barra, Riomar, Vogue Square"
315,Volta,61,2804,Ida,18,29.51,"BarraShopping, Estação Américas Park, Estação Bosque da Barra, Estação Gláucio Gil, Estação Golfe Olímpico, Estação Pontões / Barrasul, Estação Salvador Allende, Gelson Fonseca, Guignard, Hélio Pellegrino, João Saldanha, Luiz Aranha, Novo Leblon, Pedra de Itaúna, Raymundo Magalhães Jr., RioDesign Barra, Riomar, Vogue Square"
315,Volta,61,2804,Volta,1,1.64,BarraShopping - Américas
315,Volta,61,395,Ida,6,9.84,"Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, BRS 4,5: General Caldwell, Estação Barão de Mauá :: Pista Central, Frederico Silva, INTO"
315,Volta,61,2338,Volta,1,1.64,BarraShopping - Américas
315,Volta,61,2338,Ida,18,29.51,"BarraShopping, Estação Américas Park, Estação Bosque da Barra, Estação Gláucio Gil, Estação Golfe Olímpico, Estação Pontões / Barrasul, Estação Salvador Allende, Gelson Fonseca, Guignard, Hélio Pellegrino, João Saldanha, Luiz Aranha, Novo Leblon, Pedra de Itaúna, Raymundo Magalhães Jr., RioDesign Barra, Riomar, Vogue Square"
315,Volta,61,394,Ida,14,22.95,"Aires Pinto, Bela, Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, BRS 4,5: General Caldwell, Estação Barão de Mauá :: Pista Central, Fiocruz, Frederico Silva, INTO, Monsenhor Manuel Gomes, Parque Vitória, Refinaria de Manguinhos, Ricardo Machado, Santo Antônio"
315,Volta,61,SR397,Ida,4,6.56,"Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, INTO"
315,Volta,61,SN397,Ida,12,19.67,"Aires Pinto, Bela, Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, Fiocruz, INTO, Monsenhor Manuel Gomes, Parque Vitória, Refinaria de Manguinhos, Ricardo Machado, Santo Antônio"
315,Volta,61,107,Volta,1,1.64,Terminal Procópio Ferreira :: Plat. Sul
315,Volta,61,181,Ida,1,1.64,BarraShopping
315,Volta,61,202,Ida,1,1.64,"BRS 4,5: General Caldwell"
315,Volta,61,210,Ida,9,14.75,"Aires Pinto, Bela, Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, INTO, Monsenhor Manuel Gomes, Ricardo Machado, Santo Antônio"
315,Volta,61,275,Ida,3,4.92,"Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central"
315,Volta,61,SN133,Volta,1,1.64,"BRS 1,2,3,4,5,I: Cidade Nova"
315,Volta,61,105,Volta,1,1.64,Terminal Procópio Ferreira :: Plat. Sul
315,Volta,61,105,Ida,1,1.64,Terminal Procópio Ferreira :: Plat. Sul
315,Volta,61,117,Ida,1,1.64,Terminal Procópio Ferreira :: Plat. Sul
315,Volta,61,117,Volta,2,3.28,"Frederico Silva, Terminal Procópio Ferreira :: Plat. Sul"
315,Volta,61,440,Ida,4,6.56,"Aires Pinto, Bela, Ricardo Machado, Santo Antônio"
315,Volta,61,110,Ida,2,3.28,"BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central"
315,Volta,61,209,Volta,4,6.56,"Bela, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, Santo Antônio"
315,Volta,61,209,Ida,1,1.64,Bela
315,Volta,61,444,Ida,4,6.56,"Bela, Fiocruz, Parque Vitória, Refinaria de Manguinhos"
315,Volta,61,472,Ida,5,8.2,"Bela, Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, Santo Antônio"
315,Volta,61,473,Ida,1,1.64,Bicalho
315,Volta,61,109,Ida,1,1.64,Frederico Silva
315,Volta,61,474,Ida,2,3.28,"BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central"
315,Volta,61,SV474,Ida,1,1.64,Bela
315,Volta,61,498,Ida,12,19.67,"Aires Pinto, Bela, Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, Fiocruz, INTO, Monsenhor Manuel Gomes, Parque Vitória, Refinaria de Manguinhos, Ricardo Machado, Santo Antônio"
315,Volta,61,SN474,Ida,4,6.56,"BRS 1,2,3,4,5,I: Cidade Nova, BRS 4,5: General Caldwell, Estação Barão de Mauá :: Pista Central, Frederico Silva"
315,Volta,61,553,Ida,34,55.74,"Almirante Heleno Nunes, BarraShopping, Condomínio Mansões, Desembargador Oscar Tenório, Doutor Raymundo Veras, Estação Américas Park, Estação Bosque da Barra, Estação Gláucio Gil, Estação Golfe Olímpico, Estação Pontões / Barrasul, Estação Salvador Allende, Gelson Fonseca, Geraldo Irineo Joffily, Guignard, Guilherme Baptista, Hélio Pellegrino, João Saldanha, Joaquim Cardoso, Jorge Emílio Fontenelle, José Carlos de Oliveira, Luiz Aranha, Novo Leblon, Pedra de Itaúna, Ponto Final: Recreio dos Bandeirantes :: Terreirão, Praça do Pontal - Tim Maia, Praia do Recreio - Posto 10, Praia do Recreio - Posto 11, Professor Motta Maia, Projetada 2W, Raymundo Magalhães Jr., RioDesign Barra, Riomar, Salvador de Mesquita, Vogue Square"
315,Volta,61,553,Volta,2,3.28,"BarraShopping - Américas, Ponto Final: Recreio dos Bandeirantes :: Terreirão"
315,Volta,61,SP553,Ida,14,22.95,"BarraShopping, Estação Américas Park, Estação Bosque da Barra, Estação Golfe Olímpico, Estação Pontões / Barrasul, Hélio Pellegrino, João Saldanha, Luiz Aranha, Novo Leblon, Pedra de Itaúna, Raymundo Magalhães Jr., RioDesign Barra, Riomar, Vogue Square"
315,Volta,61,SN554,Ida,19,31.15,"BarraShopping, Condomínio Mansões, Estação Américas Park, Estação Bosque da Barra, Estação Gláucio Gil, Estação Golfe Olímpico, Estação Pontões / Barrasul, Estação Salvador Allende, Gelson Fonseca, Guignard, Hélio Pellegrino, João Saldanha, Luiz Aranha, Novo Leblon, Pedra de Itaúna, Raymundo Magalhães Jr., RioDesign Barra, Riomar, Vogue Square"
315,Volta,61,SN554,Volta,1,1.64,BarraShopping - Américas
315,Volta,61,104,Volta,2,3.28,"BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central"
315,Volta,61,335,Ida,4,6.56,"Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, INTO"
315,Volta,61,485,Ida,2,3.28,"BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central"
315,Volta,61,SN483,Ida,12,19.67,"Aires Pinto, Bela, Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, Fiocruz, INTO, Monsenhor Manuel Gomes, Parque Vitória, Refinaria de Manguinhos, Ricardo Machado, Santo Antônio"
315,Volta,61,SPA483,Ida,4,6.56,"Bela, Fiocruz, Parque Vitória, Refinaria de Manguinhos"
315,Volta,61,SPB483,Ida,4,6.56,"Bela, Fiocruz, Parque Vitória, Refinaria de Manguinhos"
315,Volta,61,SP315,Ida,1,1.64,Ponto Final: Recreio dos Bandeirantes :: Terreirão
315,Volta,61,SV384,Ida,4,6.56,"Bela, Fiocruz, Parque Vitória, Refinaria de Manguinhos"
315,Volta,61,SPA550,Volta,1,1.64,Edgard Werneck
315,Volta,61,SPA550,Ida,1,1.64,Gabinal
315,Volta,61,899,Ida,4,6.56,"Estação Gláucio Gil, Estação Salvador Allende, Gelson Fonseca, Guignard"
315,Volta,61,SN209,Volta,4,6.56,"Bela, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, Santo Antônio"
315,Volta,61,SN209,Ida,1,1.64,Bela
315,Volta,61,990,Ida,1,1.64,BarraShopping
315,Volta,61,990,Volta,10,16.39,"Aeroporto de Jacarepaguá, BarraShopping - Américas, CasaShopping, Edgard Werneck, Gabinal, Hospital Municipal Lourenço Jorge, Isabel Domingues, Leonel Brizola, Via Parque Shopping, Vila Pan-Americana"
315,Volta,61,SV899,Ida,4,6.56,"Estação Gláucio Gil, Estação Salvador Allende, Gelson Fonseca, Guignard"
315,Volta,61,645,Ida,1,1.64,BarraShopping
315,Volta,61,645,Volta,1,1.64,BarraShopping - Américas
315,Volta,61,817,Volta,2,3.28,"Doutor Raymundo Veras, José Carlos de Oliveira"
315,Volta,61,300,Ida,12,19.67,"Aires Pinto, Bela, Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, Fiocruz, INTO, Monsenhor Manuel Gomes, Parque Vitória, Refinaria de Manguinhos, Ricardo Machado, Santo Antônio"
315,Volta,61,554,Volta,1,1.64,BarraShopping - Américas
315,Volta,61,554,Ida,18,29.51,"BarraShopping, Estação Américas Park, Estação Bosque da Barra, Estação Gláucio Gil, Estação Golfe Olímpico, Estação Pontões / Barrasul, Estação Salvador Allende, Gelson Fonseca, Guignard, Hélio Pellegrino, João Saldanha, Luiz Aranha, Novo Leblon, Pedra de Itaúna, Raymundo Magalhães Jr., RioDesign Barra, Riomar, Vogue Square"
315,Volta,61,558,Ida,1,1.64,Gabinal
315,Volta,61,558,Volta,1,1.64,Edgard Werneck
315,Volta,61,881,Volta,6,9.84,"Aeroporto de Jacarepaguá, BarraShopping, BarraShopping - Américas, CasaShopping, Hospital Municipal Lourenço Jorge, Via Parque Shopping"
315,Volta,61,443,Ida,2,3.28,"BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central"
315,Volta,61,371,Ida,3,4.92,"BRS 1,2,3,4,5,I: Cidade Nova, BRS 4,5: General Caldwell, Estação Barão de Mauá :: Pista Central"
315,Volta,61,SR399,Ida,5,8.2,"Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, BRS 4,5: General Caldwell, Estação Barão de Mauá :: Pista Central, INTO"
315,Volta,61,SR388,Ida,4,6.56,"Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, INTO"
315,Volta,61,397,Ida,12,19.67,"Aires Pinto, Bela, Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, Fiocruz, INTO, Monsenhor Manuel Gomes, Parque Vitória, Refinaria de Manguinhos, Ricardo Machado, Santo Antônio"
315,Volta,61,350,Ida,1,1.64,Bela
315,Volta,61,SN328,Ida,12,19.67,"Aires Pinto, Bela, Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, Fiocruz, INTO, Monsenhor Manuel Gomes, Parque Vitória, Refinaria de Manguinhos, Ricardo Machado, Santo Antônio"
315,Volta,61,SN368,Volta,2,3.28,"Edgard Werneck, Gabinal"
315,Volta,61,SN880,Volta,7,11.48,"Aeroporto de Jacarepaguá, CasaShopping, Hospital Municipal Lourenço Jorge, Isabel Domingues, Leonel Brizola, Via Parque Shopping, Vila Pan-Americana"
315,Volta,61,SN880,Ida,1,1.64,Gabinal
315,Volta,61,SN388,Ida,12,19.67,"Aires Pinto, Bela, Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, Fiocruz, INTO, Monsenhor Manuel Gomes, Parque Vitória, Refinaria de Manguinhos, Ricardo Machado, Santo Antônio"
315,Volta,61,SN355,Ida,4,6.56,"Bela, Fiocruz, Parque Vitória, Refinaria de Manguinhos"
315,Volta,61,SN399,Ida,13,21.31,"Aires Pinto, Bela, Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, BRS 4,5: General Caldwell, Estação Barão de Mauá :: Pista Central, Fiocruz, INTO, Monsenhor Manuel Gomes, Parque Vitória, Refinaria de Manguinhos, Ricardo Machado, Santo Antônio"
315,Volta,61,SR384,Ida,5,8.2,"Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, BRS 4,5: General Caldwell, Estação Barão de Mauá :: Pista Central, INTO"
315,Volta,61,SR386,Ida,4,6.56,"Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, INTO"
315,Volta,61,SN861,Ida,2,3.28,"Edgard Werneck, Gabinal"
315,Volta,61,SN497,Ida,12,19.67,"Aires Pinto, Bela, Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, Fiocruz, INTO, Monsenhor Manuel Gomes, Parque Vitória, Refinaria de Manguinhos, Ricardo Machado, Santo Antônio"
315,Volta,61,133,Volta,1,1.64,"BRS 1,2,3,4,5,I: Cidade Nova"
315,Volta,61,301,Ida,1,1.64,BarraShopping - Américas
315,Volta,61,301,Volta,1,1.64,BarraShopping
315,Volta,61,SR328,Ida,4,6.56,"Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, INTO"
315,Volta,61,SV391,Ida,2,3.28,"BRS 4,5: General Caldwell, Frederico Silva"
315,Volta,61,SN624,Ida,3,4.92,"BRS 1,2,3,4,5,I: Cidade Nova, BRS 4,5: General Caldwell, Estação Barão de Mauá :: Pista Central"
315,Volta,61,108,Volta,2,3.28,"BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central"
315,Volta,61,SN600,Ida,1,1.64,Gabinal
315,Volta,61,SN600,Volta,1,1.64,Edgard Werneck
315,Volta,61,SN104,Volta,2,3.28,"BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central"
315,Volta,61,165,Ida,2,3.28,"BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central"
315,Volta,61,SN353,Ida,2,3.28,"Edgard Werneck, Gabinal"
315,Volta,61,SN312,Ida,3,4.92,"Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central"
315,Volta,61,353,Ida,2,3.28,"Edgard Werneck, Gabinal"
315,Volta,61,SV863,Volta,1,1.64,BarraShopping
315,Volta,61,SV863,Ida,2,3.28,"Edgard Werneck, Gabinal"
315,Volta,61,324,Ida,12,19.67,"Aires Pinto, Bela, Bicalho, BRS 1,2,3,4,5,I: Cidade Nova, Estação Barão de Mauá :: Pista Central, Fiocruz, INTO, Monsenhor Manuel Gomes, Parque Vitória, Refinaria de Manguinhos, Ricardo Machado, Santo Antônio"
315,Volta,61,616,Ida,1,1.64,Democráticos - Saída 7
315,Volta,61,961,Ida,2,3.28,"Gabinal, Ponto Final: Recreio dos Bandeirantes :: Terreirão"
315,Volta,61,961,Volta,14,22.95,"Almirante Heleno Nunes, Desembargador Oscar Tenório, Doutor Raymundo Veras, Geraldo Irineo Joffily, Isabel Domingues, Joaquim Cardoso, José Carlos de Oliveira, Leonel Brizola, Ponto Final: Recreio dos Bandeirantes :: Terreirão, Praça do Pontal - Tim Maia, Praia do Recreio - Posto 10, Praia do Recreio - Posto 11, Projetada 2W, Vila Pan-Americana"
315,Volta,61,LECD118,Ida,1,1.64,Democráticos - Saída 7
315,Volta,61,548,Volta,1,1.64,BarraShopping
315,Volta,61,548,Ida,1,1.64,BarraShopping - Américas
315,Volta,61,SN383,Ida,2,3.28,"BRS 4,5: General Caldwell, Frederico Silva"
SN302,Ida,89,805,Ida,1,1.12,Barra Private
SN302,Ida,89,805,Volta,22,24.72,"Aldo Bonadei, Alfa Barra, Clube Riviera, Comandante Júlio de Moura, Daut Peres, Gumercindo da Silva, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Peregrino Junior, Praça do Ó, Praça Euvaldo Lodi, Praça Professor José Bernardino, Praça Professor Souza Araújo, Praia da Barra - Posto 4, Praia da Barra - Posto 5, Praia da Barra - Posto 6, Praia da Barra - Posto 7, Praia da Barra - Posto 8, Prefeito Dulcídio Cardoso, Prudência do Amaral, Rodolfo de Campos, São Regulo"
SN302,Ida,89,238,Volta,3,3.37,"BRS 1,2,4,5,6,I: Barão de Ubá, BRS 1,2,4,5,6,I: Domício da Gama, BRS 1,2,4,5,6,I: Matoso"
SN302,Ida,89,SN238,Volta,1,1.12,"BRS 1,2,4,5,6,I: Barão de Ubá"
SN302,Ida,89,239,Volta,3,3.37,"BRS 1,2,4,5,6,I: Barão de Ubá, BRS 1,2,4,5,6,I: Domício da Gama, BRS 1,2,4,5,6,I: Matoso"
SN302,Ida,89,SPB550,Ida,13,14.61,"Barra Private, Daut Peres, Gumercindo da Silva, Itanhangá Golf Club, Marina Barra Clube, Metrô Jardim Oceânico, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Poeta Khalil Gibran, Praça do Aleijadinho, Praça Professor Souza Araújo, Praça Senador Melo Viera, Waldemar Falcão"
SN302,Ida,89,SV692,Volta,2,2.25,"Alfa Barra, Prefeito Dulcídio Cardoso"
SN302,Ida,89,SV692,Ida,2,2.25,"Alfa Barra, Prefeito Dulcídio Cardoso"
SN302,Ida,89,621,Volta,2,2.25,"BRS 1,2,5,6,7,I: Carmela Dutra, BRS 1,2,5,6,7,I: Conselheiro Zenha"
SN302,Ida,89,624,Ida,1,1.12,Francisco Eugênio
SN302,Ida,89,634,Ida,5,5.62,"BRS 1,2,4,5,6,I: Barão de Ubá, BRS 1,2,4,5,6,I: Domício da Gama, BRS 1,2,4,5,6,I: Matoso, Francisco Eugênio, Joaquim Palhares"
SN302,Ida,89,711,Volta,3,3.37,"BRS 1,2,4,5,6,I: Barão de Ubá, BRS 1,2,4,5,6,I: Domício da Gama, BRS 1,2,4,5,6,I: Matoso"
SN302,Ida,89,SV606,Volta,3,3.37,"Conde de Itaguaí, Estação Barão de Mauá :: Pista Lateral, Francisco Eugênio"
SN302,Ida,89,343,Volta,7,7.87,"Barra Private, Itanhangá Golf Club, Marina Barra Clube, Poeta Khalil Gibran, Praça do Aleijadinho, Praça Senador Melo Viera, Waldemar Falcão"
SN302,Ida,89,343,Ida,5,5.62,"Daut Peres, Gumercindo da Silva, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Praça Professor Souza Araújo"
SN302,Ida,89,550,Ida,13,14.61,"Barra Private, Daut Peres, Gumercindo da Silva, Itanhangá Golf Club, Marina Barra Clube, Metrô Jardim Oceânico, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Poeta Khalil Gibran, Praça do Aleijadinho, Praça Professor Souza Araújo, Praça Senador Melo Viera, Waldemar Falcão"
SN302,Ida,89,555,Ida,13,14.61,"Barra Private, Daut Peres, Gumercindo da Silva, Itanhangá Golf Club, Marina Barra Clube, Metrô Jardim Oceânico, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Poeta Khalil Gibran, Praça do Aleijadinho, Praça Professor Souza Araújo, Praça Senador Melo Viera, Waldemar Falcão"
SN302,Ida,89,557,Ida,8,8.99,"Calheiros Gomes, Desembargador Araújo Jorge, Itanhangá Golf Club, Marina Barra Clube, Poeta Khalil Gibran, Praça do Aleijadinho, Praça Senador Melo Viera, Waldemar Falcão"
SN302,Ida,89,565,Volta,2,2.25,"Barra Private, Metrô Jardim Oceânico"
SN302,Ida,89,565,Ida,2,2.25,"Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli"
SN302,Ida,89,SN309,Volta,23,25.84,"Aldo Bonadei, Alfa Barra, Barra Private, Clube Riviera, Comandante Júlio de Moura, Daut Peres, Metrô Jardim Oceânico, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Peregrino Junior, Praça do Ó, Praça Euvaldo Lodi, Praça Professor José Bernardino, Praça Professor Souza Araújo, Praia da Barra - Posto 4, Praia da Barra - Posto 5, Praia da Barra - Posto 6, Praia da Barra - Posto 7, Praia da Barra - Posto 8, Prefeito Dulcídio Cardoso, Prudência do Amaral, Rodolfo de Campos, São Regulo"
SN302,Ida,89,309,Volta,24,26.97,"Aldo Bonadei, Alfa Barra, Barra Private, Clube Riviera, Comandante Júlio de Moura, Daut Peres, Gumercindo da Silva, Metrô Jardim Oceânico, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Peregrino Junior, Praça do Ó, Praça Euvaldo Lodi, Praça Professor José Bernardino, Praça Professor Souza Araújo, Praia da Barra - Posto 4, Praia da Barra - Posto 5, Praia da Barra - Posto 6, Praia da Barra - Posto 7, Praia da Barra - Posto 8, Prefeito Dulcídio Cardoso, Prudência do Amaral, Rodolfo de Campos, São Regulo"
SN302,Ida,89,601,Volta,4,4.49,"BRS 1,2,5,6,7,I: Carmela Dutra, BRS 1,2,5,6,7,I: Conselheiro Zenha, BRS 2,5,7,I: Saens Peña I, Conde de Itaguaí"
SN302,Ida,89,607,Volta,9,10.11,"BRS 1,2,4,5,6,I: Barão de Ubá, BRS 1,2,4,5,6,I: Domício da Gama, BRS 1,2,4,5,6,I: Matoso, BRS 1,2,5,6,7,I: Carmela Dutra, BRS 1,2,5,6,7,I: Conselheiro Zenha, BRS 1,2,5,6,I: Afonso Pena, BRS 1,2,5,6,I: Professor Gabizo, BRS 1,2,5,6,I: São Francisco Xavier, Conde de Itaguaí"
